W_200_um	x_px_no_limit	x_px_no_limit	x_px_no_limit	x_px_1.5	x_px_1.5	x_px_1.5	x_px_3	x_px_3	x_px_3	x_ps_4.5	x_ps_4.5	x_ps_4.5
I(A)	mu_p(MeV/c)	sigma_p(MeV/c)	sigma_p/mu_p	mu_p(MeV/c)	sigma_p(MeV/c)	sigma_p/mu_p	mu_p(MeV/c)	sigma_p(MeV/c)	sigma_p/mu_p	mu_p(MeV/c)	sigma_p(MeV/c)	sigma_p/mu_p
25	62.78	7.29	11.61	63.67	6.42	10.08	63.42	6.68	10.54	63.35	6.75	10.65
50	129.56	6.41	4.95	130.19	5.47	4.21	130.24	5.63	4.33	130.30	5.49	4.21
75	195.21	6.61	3.38	196.19	5.42	2.76	195.91	5.56	2.84	196.05	5.36	2.74
100	260.86	6.89	2.64	261.62	5.50	2.10	261.58	5.43	2.08	261.56	5.53	2.11
125	326.33	7.13	2.19	327.23	5.66	1.73	327.23	5.79	1.77	327.25	5.94	1.81
150	391.56	7.49	1.91	392.45	6.11	1.56	392.54	6.05	1.54	392.62	6.09	1.55
175	456.64	7.80	1.71	457.83	6.01	1.31	457.95	6.04	1.32	457.79	6.14	1.34
200	521.39	8.11	1.55	522.62	6.45	1.23	522.59	6.42	1.23	522.70	6.28	1.20
225	585.42	8.45	1.44	586.98	6.31	1.07	586.96	6.31	1.08	586.92	6.30	1.07
230	598.08	8.59	1.44	599.65	6.41	1.07	599.58	6.43	1.07	599.61	6.42	1.07
250	648.53	8.79	1.36	650.11	6.36	0.98	650.09	6.39	0.98	650.09	6.40	0.98
275	710.12	9.12	1.28	711.71	6.63	0.93	711.75	6.60	0.93	711.73	6.63	0.93
300	769.72	9.46	1.23	771.34	6.73	0.87	771.47	6.68	0.87	771.47	6.73	0.87
325	826.98	9.72	1.18	828.86	6.55	0.79	828.77	6.65	0.80	828.73	6.81	0.82
350	881.01	10.06	1.14	882.95	6.73	0.76	882.95	6.85	0.78	882.94	6.88	0.78
375	930.20	10.37	1.11	932.23	6.75	0.72	932.28	6.79	0.73	932.14	6.91	0.74
400	973.02	10.65	1.09	975.02	6.95	0.71	975.00	6.96	0.71	975.00	6.98	0.72
425	1011.92	10.87	1.07	1014.09	6.76	0.67	1013.90	6.94	0.68	1013.95	6.97	0.69
450	1048.36	11.04	1.05	1050.26	6.96	0.66	1050.26	6.98	0.66	1050.24	6.99	0.67
475	1083.06	11.29	1.04	1084.86	6.99	0.64	1084.94	7.00	0.65	1084.95	7.04	0.65
500	1116.39	11.37	1.02	1118.53	6.88	0.61	1118.48	7.01	0.63	1118.47	7.08	0.63
